Id,commonName,botanicalName,plantPic,plantsLink,wateringInformation,typeOf,exposure,generalInformation,plantingGuide,pestsDiseases,careGuide
32,Cannas,Canna x generalis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/Canna.jpg?itok=dEOw0m0O,http://www.almanac.com/plant/cannas,2,Flower,Full Sun,Cannas are among the most colorful summer bulbs€”as flamboyant as their tropical American ancestry€”with ruffled spikes tapering to refined buds.,null,null,"Cannas do best with a good supply of water, so water the plants during the summer if the rainfall is less than 1 inch per week. Water freely in a dry spell. Keep a thin layer of mulch around cannas to help retain moisture as well. Stake tall varieties if needed. As flowers fade, deadhead to promote continued flowering. Cut each stem to ground after bloom. After autumn frost blackens the foliage, remove the stems and leaves, and lift the rhizomes for winter storage. Store in barely-moist peat or leaf mold in frost-free conditions. Space rhizomes so that they are not touching. In the deep South, let cannas grow without moving them, until the clumps grow very matted. Every 3 to 4 years in the winter, dig up the clumps, separate the roots, and plant them in well-enriched soil. Some gardeners as low as zone 7 have reported that their cannas are getting through the winter without being dug up; just be sure to protect the tubers with a heavy layer of mulch."
33,Sage,Salvia officinalis,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/sage.jpg?itok=DR-uklQR,http://www.almanac.com/plant/sage,3,Herb,Full Sun,"Sage is a hardy perennial with soft, grayish green leaves. Its flower colors vary; they can be purple, pink, blue, or white. Common sage is used most commonly for cooking; it's a classic in stuffing.",null,null,"Be sure to water the young plants regularly until they are fully grown so that they don't dry out. Prune the heavier, woody stems every spring. It's best to replace the plants every 4 to 5 years to ensure the best quality."
34,Cucumbers,Cucumis Sativus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/cucumber_plate.jpg?itok=_wrDLzRY,http://www.almanac.com/plant/cucumbers,3,Vegetable,Full Sun,Cucumbers are a warm-season vegetable planted outside in the ground no earlier than 2 weeks after last spring frost date.,null,null,"When planting seeds in the ground, cover with netting or a berry basket to keep pests from digging out the seeds. When seedlings emerge, begin to water frequently, and increase to a gallon per week after fruit forms. When seedlings reach 4 inches tall, thin plants so that they are 1½ feet apart. If you've worked in organic matter into the soil before planting, you may only need to side-dress your plants with compost or well-rotted manure. Or, if you wish, use a fertilizer from your garden store which is low nitrogen/high poatassium and phosphorus formula and apply at planting, 1 week after bloom, and every 3 weeks with liquid food, applying directly to the soil around the plants. Or, you can work a granular fertilizer into the soil. Do not overfertilize or the fruits will get stunted. Water consistently; put your finger in the soil and when it is dry past the first joint of your finger, it is time to water. Inconsistent watering leads to bitter-tasting fruit. Water slowly in the morning or early afternoon, avoding the leaves. Mulch to hold in soil moisture. If you have limited space or would prefer vertical vines, set up trellises early to avoid damage to seedlings and vines. Spray vines with sugar water to attract bees and set more fruit."
35,Peace Lily,Spathiphyllum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/b568-0120040.jpg?itok=YtToX5hL,http://www.almanac.com/plant/peace-lily,3,Houseplant,Shade,"Peace Lilies are very common houseplants because they are easy to grow. They can grow up to 16 inches, but larger ones can often reach 6 feet tall. Peace Lilies produce white flowers in the early summer and continue to bloom throughout the year.",null,Brown leaf tips are common with excessive light or over fertilization.,"Keep the soil moist at all times, but do not overwater. During the winter fertilize every 6 weeks or so. If you want flowers to appear, but none have, move the plant to a darker room."
36,Zinnias,Zinnia elegans,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_11016.jpg?itok=u8V0F2qd,http://www.almanac.com/plant/zinnias,2,Flower,Full Sun,Get a zing from zinnias!,null,"Bacterial and fungal spots, powdery mildew, bacterial wilt. Minimize wetting of foliage to avoid disease.",Deadhead to prolong flowering. Maintain moderate soil moisture and fertilize lightly. Zinnias will die with the first frost.
37,Plums,Prunus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/plums.jpg?itok=Lc_laI8O,http://www.almanac.com/plant/plums,3,Fruit,Full Sun,"Plums are a good choice for beginner gardeners who want to grow fruit trees. Plum trees are widely adapted, more compact, and require less treatment than most fruit trees. Not only are plums delicious, but the trees themselves add beauty to any garden.",null,"Plum trees can suffer from silver leaf disease, honey fungus, bacterial canker, pocket plum, plum aphids and plum moth.","Thinning plum trees is important to prevent branches breaking under the weight of the trees. If branches do break, prune them back into the undamaged wood, ideally cutting back to a natural fork to avoid leaving stubs. Be sure to water the young trees heavily every week during the first growing season to help promote growth. Then, water regularly. It's best to water the plant deeply at the soil line, then let the soil dry out (though not completely), and then water again. Water your tree well into mid-October to give it plenty of moisture through the winter months. Do not fertilize young fruit trees unti they have set a crop. Once established, fruit production requires regular fertilizing all year long. If there's good fruit set, fertilize with one pound calcium nitrate per tree or 1½ lb. 10-10-10. Cut back the nitrogen in fall and winter to avoid encouraging new growth in those seasons. In the fall, rake away all debris and fallen trees. Prune early spring or mid-summer to avoid infection. The best time for pruning is usually spring for young trees and mid-summer for established ones. Do NOT prune in the fall or winter injury or infection may occur. Did you have any pest issues? Talk to your local extension or garden center about a spray program. To prevent winter injury: Consider a tree wrap or guard around the lower trunk, especially for a young plum tree. Keep an eye on the lower bark and branches for mice or rabbit injury; if this could be a problem, you may need to install tree guards or fence in young trees with chicken wire for the winter. Pruning: Japanese Plum If you have a Japanese type of tree, the best pruning method is to create an open center shape. In the summer of the first year, cut the vigorous shoots that form on the top of the tree by two or three buds. After about a month, check the tree. As soon as you have three wide-angled branches, spaced equally apart, cut back any other branches so that these three are the main branches. In the early summer of the second year, cut back the branches in the middle of the tree to short stubs and prune any shoots developing below the three main branches. After the third year, remove any shoots in the center of the tree to keep its shape. Japanese types require heavy pruning to help keep them in shape and to produce better fruit. It is also good to thin out the fruit on these types of trees. You should space the plums about 3 to 4 inches apart on each branch. Pruning: European Plum If you have a European type of tree, the best pruning method is to create a central leader. This shape features a central trunk with branches that spiral out every 5 to 8 inches, making sure that no branch is directly above another. The training for such a system begins in the early summer of the first year, during which time you should remove any shoots that form within 18 inches of the ground. The end result should resemble a Christmas tree. European types do not require fruit thinning because they do not produce as much fruit as Japanese types. However, the fruit on these types should be spaced about 2 inches apart on each branch. To help control pests and diseases, remember to prune your trees to keep them open. You can also mulch around the trees in the spring to help control weeds, but be sure to remove the mulch in the late fall so that no pests use it over the winter. You can also lightly cultivate the soil around your trees in late spring to eliminate any pests in the soil. "
38,Marigolds,Tagetes,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_13712.jpg?itok=pM9s5ECc,http://www.almanac.com/plant/marigolds,2,Flower,Full Sun,Where to buy marigold seeds and plants: Burpee Gardening,null,"Farmers and gardeners have long known that marigolds make important companion plants all over the garden. Not only does the scent of the marigold (Tagetes spp.) repel animals and insects, but the underground workings of the marigold will repel nematodes (microscopic worms) and other pests for up to 3 years.","Germination from large, easily handled seeds is rapid, and blooms should appear within a few weeks of sowing. If the spent blossoms are deadheaded, the plants will continue to bloom profusely. When you water marigolds, allow the soil to dry somewhat between watering, then water well, then repeat the process. Do not water marigolds from overhead. Water at the base of the plant. Do not fertilize marigolds. Too rich a diet stimulates lush foliage at the expense of flowers. Marigolds bloom better and more profusely in poor soil. The densely double flowerheads of the African marigolds tend to rot in wet weather."
39,Jasmine,Jasminum Polyanthum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_7916.jpg?itok=mV7-4Gtg,http://www.almanac.com/plant/jasmine,2,Houseplant,Full Sun,"Jasmine is known for its intensely fragrant blossoms that flower all year to brighten your home. The starry flowers grow in lovely clusters of bright white (or yellow). Though jasmine is a vine grown outdoors, the plant grows easily indoors where vines aren't handy.",Grow in a pot or hanging basket with any good potting or all-purpose soil.,Root rot and mealybugs are common.,"During the spring and summer months Jasmine needs full sunlight. In the winter months Jasmine still needs light, but it doesn't have to be direct. Soil should be moist and well-drained, but do not overwater. During the summer allow the soil to be moist and let it dry between waterings. Water less in the fall. In the winter and spring months keep the plant slightly dry. Prune after blooming season (which is spring) to shape the plant."
40,Geraniums,Pelargonium,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/37045605.jpg?itok=pHaO1-r3,http://www.almanac.com/plant/geraniums,2,Houseplant,Full Sun,"Geraniums are a longtime favorite of Almanac gardeners. They are easy to grow, colorful, and many add a lovely scent to the home. Although, they are also an outdoor plant, they can be kept indoors to overwinter. Or, they can bloom indoors all year long with enough light.",null,"Common problems can be low light or too much or too little water. The leaves will turn yellow as an indication you are watering too little or too much in which case, try to even the watering out and move the geraniums to a brighter place.","Allow to dry between waterings, then water thoroughly. During the winter water much less, but do not let the roots dry out. To encourage blooming, deadhead spent flowers. To promote bushiness and avoid legginess, pinch the stems. During active growing months, fertilize every 2 weeks. Use a water-soluable fertilizer at half strength. Don't fertilize in winter. Geraniums can be re-potted as needed during the spring to be refreshed."
41,Chard,Beta vulgaris,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/chard.jpg?itok=aUhgWGVl,http://www.almanac.com/plant/chard,2,Vegetable,Full Sun,Chard is a member of the beet family that does well in both cool and warm temperatures. It can be cooked or used raw in salads and is high in vitamins A and C.,null,null,"When the plants are 3 to 4 inches tall, thin them out so that they are 4 to 6 inches apart or 9 to 12 inches apart if the plants are larger. Water the plants evenly to help them grow better. Water often during dry spells in the summer. You can also mulch the plants to help conserve moisture. For the best quality, cut the plants back when they are about 1 foot tall. If the chard plants become overgrown, they lose their flavor."
42,Peas,Pisum sativum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/peasimage.jpg?itok=T00yl5Qi,http://www.almanac.com/plant/peas,1,Vegetable,Full Sun,"Peas are a cool-season crop, now coming in three separate varieties to suit your garden and cooking needs. They are: Pisum savitum, which includes both garden peas (sweet pea, inedible pod) and snow peas (edible flat pod with small peas inside) and Pisum macrocarpon, snap peas (edible pod with full-size peas). They are easy to grow, but with a very limited growing season. Furthermore, they do not stay fresh long after harvest, so enjoy them while you can!",null,null,"Make sure that you have well-drained, humus-rich soil. Poke in any seeds that wash out. (A chopstick is an ideal tool for this.) Be sure, too, that you don't fertilize the soil too much. Peas are especially sensitive to too much nitrogen, but they may like a little bonemeal, for the phosphorus content. Though adding compost or manure to the soil won't hurt, peas don't need heavy doses of fertilizer. They like phosphorus and potassium. Water sparsely unless the plants are wilting. Do not let plants dry out, or no pods will be produced. For tall and vine varieties, establish poles or a trellis at time of planting. Do not hoe around plants to avoid disturbing fragile roots. It's best to rotate pea crops every year or two to avoid a buildup of soil-borne diseases."
43,Lilacs,Syringa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_11437.jpg?itok=awiQUadY,http://www.almanac.com/plant/lilacs,2,Shrub,Full Sun,Where to buy lilacs: Burpee Gardening,null,null,"Each spring, apply a layer of compost under the plant, followed by mulch to retain moisture and control weeds. Water during the summer if rainfall is less than 1 inch per week. Lilacs won't bloom if they're overfertilized. They can handle a handful of 10-10-10 in late winter, but no more. After your lilac bush has finished blooming, spread some lime and well-rotted manure around the base. Trim the bush to shape it, and remove suckers at the same time. Pruning Lilacs, Lilacs bloom on old wood, so it's critical to prune in the spring right after they bloom. If you prune later in the summer, you may be removing the wood. Here's a tip: If your lilac flower clusters are getting smaller, time to prune! Every year after bloom, remove any dead wood. Prune out the oldest canes (down to the ground). Remove the small suckers. Cut back weak branches to a strong shoot. Cut back tall canes to eye height. If your lilac is old and in really bad shape, remove one-third of the oldest canes (down to the ground) in year one, half of the remaining old wood in year two, and the rest of the old wood in year three. Another option for old lilacs is to chop the whole thing back to about 6 or 8 inches high. It sounds drastic, but lilacs are very hardy. The downside to this option is that it takes a few years to grow back. The upside is less work and more reward, as the lilac will grow back bursting with blooms. It must be recognized that severe pruning results in the loss of blooms for one to three years. For these reasons, a wise pruning program aims to avoid severe and drastic cuts by giving the bushes annual attention."
44,Onions,Allium cepa,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/onions_0.jpg?itok=QdXoWYI_,http://www.almanac.com/plant/onions,2,Vegetable,null,Buy exclusive Burpee Onion Seeds and Sets,null,null,"Fertilize every few weeks with nitrogen to get big bulbs. Cease fertilizing when the onions push the soil away and the bulbing process has started. Do not put the soil back around the onions; the bulb needs to emerge above the soil. Generally, onions do not need consistent watering if mulch is used. About one inch of water per week (including rain water) is sufficient. If you want sweeter onions, water more. Onions will look healthy even if they are bone dry, be sure to water during drought conditions. Make sure soil is well-drained. Mulch will help retain moisture and stifle weeds. Cut or pull any onions that send up flower stalks; this means that the onions have bolted and are done."
45,Irises,Iris Germanica,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_7278.jpg?itok=ecIOWNHE,http://www.almanac.com/plant/irises,2,Flower,Full Sun,"The tall, beautiful iris, named after the Greek goddess who rode rainbows, comes in many magical colors.",null,"Irises are deer-resistant and drought-tolerant. However, they are susceptible to borers, so check the rhizomes (fleshy roots) yearly for holes, discarding any infested ones.","Avoid applying high-nitrogen fertilizers to the surface or carelessly mulching with organic matter, which may encourage rhizome rot. Keep rhizomes exposed. Unlike bulbs, which thrive deep underground, iris rhizomes need a bit of sun and air to dry them out. If they're covered with soil or crowded by other plants, they'll rot. Irises may benefit from shallow mulching in the spring.Don't trim iris leaves. Leaves carry on photosynthesis for next year's growth. Cut off brown tips and cut the flowering stalk down to the rhizome to discourage rot. If iris foliage is hit with heavy frost, remove and destroy it to eliminate borer eggs. After 2 to 5 years, when clumps become congested or lose vitality, divide and replant sound rhizomes in fresh soil. The best time to replant irises is soon after bloom. Transplant them to places where they will have wet feet but dry knees."
46,Ponytail Palm,Beaucarnea Recurvata,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/beaucarnea_recurvata_ponytail_palm_pubic_domain.jpg?itok=gsREiG4U,http://www.almanac.com/plant/ponytail-palm,1,Houseplant,Full Sun,"Ponytail Palms are a great, long-lived indoor plant. (Despite it's name and palm-like appearance, it's not a true €œpalm.€)",null,null,Keep soil fairly dry. Water from spring through fall allowing soil to dry on the surface before re-watering. During the winter only water occasionally. Fertilize in the spring and bring into brighter room for the summer months. Re-potting every other year at the most is all the Ponytail Palm needs.
47,Cosmos,Cosmos,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/cosmo_002.jpg?itok=ApdF5gxw,http://www.almanac.com/plant/cosmos,2,Flower,Full Sun,"Cosmos are annuals, grown for their showy flowers. The flowerheads may be bowl€“ or open cup€“shaped and are atop of long stems. Cosmos are easy to grow and make good border or container plants. They make for good decorations in flower arrangements and also attract birds, bees, and butterflies to your garden.",null,null,"In order to prolong flowering, you should deadhead the plants (remove the dead/faded flowers). Because some of these plants can grow really tall, staking may be necessary. Water regularly, but make sure you don't over-water the plants. Over-watering and over-fertilization can lead to plants with fewer flowers. Cosmos beds may become weedy due to the fact that they self-seed, so remember to check them."
48,Wandering Jew,Zebrina Pendula or Tradescantia Albiflora,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/d681-0120040.jpg?itok=76lLy5g7,http://www.almanac.com/plant/wandering-jew,2,Houseplant,Part Sun,"Wandering Jews (Tradescantias) are valued for their stripes of white, green, silver, and purple colors in their leaves. They have trailing vines that flow from it's base and are very easy to care for.",null,"Aphids tend to be a problem on the stems and leaves. To rid of them, pinch off the infected stems and spray the plant with water.",Water completely and allow the soil to dry before watering again. You can water less during the winter months of its resting period. Provide fertilizer twice a month. You can re-root the long stem tips by cutting in the spring and summer. Just make sure the stems are 3 inches long and the plant will root within 3 weeks.
49,Strawberries,Fragaria,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/strawberries.jpg?itok=xLMX_Yml,http://www.almanac.com/plant/strawberries,2,Fruit,Full Sun,"These sweet, juicy berries are treats when right off the plant. Supermarket berries tend to be tart with grainy texture; this is because the natural sugar in the berries begins converting to starch as soon as it is plucked from the plant. It's definitely worth your while to try planting your own strawberries, and the good news is that they are relatively easy to grow if you have full sun.",null,null,"In the first year, pick off blossoms to discourage plants from fruiting. If not allowed to bear fruit, they will spend their food reserves on developing healthy roots. The yields will be much greater in the second year. Eliminate daughter plants as needed. First and second generations produce higher yields. Try to space each plant about 10 inches apart. Moisture is incredibly important due to shallow roots. Water adequately, about one inch per week. They need a lot of water when the runners and flowers are developing and again in the fall when the plants are mature. Keep the beds mulched to reduce water needs and weed invasion. Be diligent about weeding. Weed by hand, especially in the first months after planting. When the growing season is over, mow or cut foliage down to one inch and mulch plants about 4 inches deep with straw, pine needles or other organic material. This can be done after the first couple of frosts, or when air temps reach 20 F. Remove mulch in early spring, after danger of frost has passed. Row covers are a good option for protecting blossoms and fruit from birds."
50,Tarragon,Artemisia dracunculus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/tarragon.jpg?itok=P53nCl_7,http://www.almanac.com/plant/tarragon,2,Herb,Full Sun,"Tarragon is a perennial herb with long, light green leaves and tiny greenish or yellowish white flowers. For cooking, use French tarragon. Russian tarragon can easily be mistaken for French, but Russian tarragon is coarser and less flavorful than French tarragon.",null,null,"Be sure to prune the plant regularly to prevent flowering and to keep the height to around 2 feet (otherwise the plant will fall over). If you live in a colder climate, be sure to put mulch around the plants in late fall in order to protect the roots during the winter. To help keep your plants healthy, divide them every 3 to 4 years in the spring or fall. New plants can grow from stem cuttings or root cuttings."
51,Nasturtium,Tropaeolum majus,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/nasturtium-284820_1280.jpg?itok=LXQRSlsm,http://www.almanac.com/plant/nasturtium,2,Flower,Full Sun,Nasturtium is an easy-to-grow annual whose leaves and flowers are edible. These plants with their bright greenery and vibrant flowers are good for containers or ground covers. Their pretty fragrance also makes them a good choice for cut flowers. Nasturtiums are perfect to grow with children because they grow so easily and rapidly.,null,null,"Water regularly throughout the growing season, but be careful not to over-water your plants. Cutting off the faded/dead flowers will prolong blooming. If you're growing nasturtiums in containers, they may need to be trimmed back occasionally over the growing season."
52,Phlox,Phlox,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/phlox_0.jpg?itok=No7jsMVu,http://www.almanac.com/plant/phlox,3,Flower,Full Sun,"Phlox are perennials and a favorite choice among wildflowers. These plants sport many star-shaped, colorful flowers when in bloom. Because there are so many varieties, you can find a type of phlox for almost any garden. They are easy to care for and low maintenance. Add some phlox to any bouquet for some nice fragrance.",There are three different categories for growth requirements:,null,"If you receive less than 1 inch of rain a week, remember to regularly water your plants throughout the summer. Each spring, put a thin layer of compost and a 2-inch layer of mulch around the plants to help keep the soil moist and control weeds. Remember to remove the dead/faded flowers so that your plants can rebloom. If you have tall phlox, cut the stems back to about 1 to 2 inches above the soil after the first killing frost. Divide tall garden phlox every 2 to 3 years to ensure healthy and disease-free plants."
53,Potatoes,Solanum tuberosum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/ptoatoes.jpg?itok=WVZ4Xb5I,http://www.almanac.com/plant/potatoes,2,Vegetable,Full Sun,Where to buy potatoes: Burpee Gardening,null,null,"Potatoes thrive in well-drained, loose soil. Potatoes need consistent moisture, so water regularly when tubers start to form. Hilling should be done before the potato plants bloom, when the plant is about 6 inches tall. Hoe the dirt up around the base of the plant in order to cover the root as well as to support the plant. Bury them in loose soil. The idea is to keep the potato from getting sunburned, in which case they turn green and will taste bitter. You will need to hill potatoes every couple of weeks to protect your crop."
54,Wisteria,Wisteria,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_5087.jpg?itok=BdaI4smE,http://www.almanac.com/plant/wisteria,2,Shrub,Full Sun,Where to buy wisteria: Burpee Gardening,null,null,"Each spring, apply a layer of compost under the plant and a 2-inch layer of mulch to retain moisture and control weeds. Some gardeners swear by phosphorus to aid flowering. Scratch a couple of cups of bone meal into the soil in the spring and then add some rock phosphate in the Fall. Water your plants if you receive less than one inch of rain each week. (To know how much rain you are getting, you can place an empty tuna can outside and measure the depth of water with a measuring stick.) Pruning Wisteria Pruning is the secret to good flowering. Prune wisteria in late winter. Remove at least half of the prior year's growth, leaving just a few buds per stem. If you want a more formal appearance, prune again during summer after traditional flowering. For more blooms, try cutting back the rampant shoots every two weeks during the summer. Do you have a new wisteria? Cut the vine back severely right after planting. Then, the next year, cut the main stem or stems back to 3 feet of the previous season's growth. Once the framework is full size, shorten further extension growth in midsummer to where growth began for that season. Informally grown, mature plants need little or no subsequent pruning. For a formally trained plant, cut side shoots back to 6 inches in summer, then shorten them again in winter to 3 buds. Wisteria will resprout with vigor if cut back severely, but this pruning should be avoided, if possible, because new shoots may take some years before they flower."
55,Spider Plants,Chlorophytum Comosum,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/spider_plant.jpg?itok=084tns6V,http://www.almanac.com/plant/spider-plants,1,Houseplant,Part Sun,"Spider Plants or Airplane Plants produce arched green and pale yellow stems that extend to be 12-18 inches long. When less than a year old, Spider Plants may produce tiny white flowers during the summer. These easy-to-grow plants look especially nice in a hanging basket.",null,null,"During growth, water occasionally; once fully developed (within one year), water moderately. In the spring and summer months keep the soil moist. Do not let soil dry out. Fertilize twice a month in the spring and summer, however, avoid overfertilization."
56,Yarrow,Achillea,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/yarrow.jpg?itok=viWoLYQo,http://www.almanac.com/plant/yarrow,2,Flower,Full Sun,"Yarrow is a hardy perennial with showy flower heads composed of many tiny, tightly-packed flowers. Their fern-like leaves are often aromatic. Yarrows are easy to care for and versatile: they are good for borders, rock gardens, or wildflower meadows. These flowers are excellent for cutting or drying.",null,null,"Remember to add a thin layer of compost, followed by a 2€“inch layer of mulch around your plants each spring. If you receive less than 1 inch of rain a week in the summer, remember to water your plants regularly. Divide yarrow plants every 3 to 5 years. Lift the clumps of flowers in early spring or fall and remove any dead stems from the center of the clump. You can replant the divisions in well-prepared soil. If you plant yarrows from tip cuttings, plant them in spring or early summer."
57,Astilbe,Astilbe,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/astilbe.jpg?itok=yECAE3Cb,http://www.almanac.com/plant/astilbe,2,Flower,Part Sun,"Astilbe is a perennial with beautiful, showy flowers atop glossy, fern€“like foliage. Its flower clusters vary in size from 6 inches to 2 feet and its height varies from 6 inches to 5 feet, depending on the type.",null,null,"Remember to regularly check your astilbes to make sure they are moist. Water accordingly if rain does not occur. It's best to water deeply when you water (not everyday sprinkling). Astilbes spread quickly and form broad clumps. Their crowns often rise above the soil as they grow, so make sure to cover them with humus-rich soil or lift and replant the clumps. Your astilbes will benefit from a balanced organic fertilizer applied in the spring. Be sure to divide the overgrown clumps every 3 to 4 years in the spring. You can either replant the divisions immediately or put them in pots to be planted out in the early summer when they are re-established. Astilbe do fine as cutting flowers if you wish to clip some blooms to bring inside. Removing the flower heads will not promote continued flowering. After blooming has finished for the season, feel free to clip off any spent flower stems. Your astilbes will continue to provide attractive foliage until fall. After the first frost, the leaves may yellow; trim leaves if you wish and fresh growth will come next spring."
58,Kale,Brassica oleracea acephala,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/kale.jpg?itok=vPLucGkw,http://www.almanac.com/plant/kale,2,Vegetable,Full Sun,"Kale is a hardy, cool-season green that is part of the cabbage family. It grows best in the spring and fall and can tolerate all fall frosts. Kale can be used in salads or as a garnish and is rich in minerals and vitamins A and C.",null,null,Water the plants regularly but be sure not to overwater them. Mulch the soil heavily after the first hard freeze; the plants may continue to produce leaves throughout the winter.
59,Peonies,Paeonia,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_8225.jpg?itok=Nh4adOwK,http://www.almanac.com/plant/peonies,2,Flower,Full Sun,"The fattest and most scrumptious of all flowers, a rare fusion of fluff and majesty, the peony is now coming into bloom.","Tip: Don't plant too deep! In most of the country, the peony's eyes (buds) should be no deeper than 1-½ to 2 inches below the soil line!","Peonies are generally very hardy. They are prone to Verticillium wilt, ringspot virus, tip blight, stem rot, Botrytis blight, left blotch, Japanese beetle, and nematodes.","Like children, young peonies take time to develop. They usually need a few years to establish themselves, bloom, and grow. Peonies thrive on benign neglect. Unlike most perennials, they don't need to be dug and divided. Spare the fertilizer. Work the soil well before you plant, mixing in a little fertilizer, and that should be enough. If your soil is poor, the time to apply fertilizer (bonemeal, compost, or well-rotted manure) is early summer, after the peonies have bloomed and you have deadheaded. Don't fertilizer more than every few years. Help the stems. If peonies have any structural weakness, it is their stems, which are sometimes not strong enough to support their gigantic blossoms. Consider three-legged metal peony rings that allow the plant to grow through the center of the rings. Deadhead peony blossoms as soon as they begin to fade, cutting to a strong leaf so that the stem doesn't stick out of the foliage. Cut the foliage to the ground in the fall to avoid any overwintering disease. Don't smother peonies with mulch. Where cold temperatures are severe, for the first winter after planting you can mulch VERY loosely with pine needles or shredded bark. Remove mulch in the spring."
60,Beets,Beta vulgaris,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/beets.jpg?itok=xyHvBuWl,http://www.almanac.com/plant/beets,3,Vegetable,Full Sun,"Beets are a cool season vegetable crop. This root veggie grows quickly and has many different varieties which showcase deep red, yellow or white bulbs of different shapes. They can survive frost and almost freezing temperatures, which makes them a good choice for northern gardeners and an excellent long-season crop.",null,null,"Thinning is necessary, as you may get more than one seedling out of each seed. Thin when they read about 2 inches high by pinching them off. Pulling them out of the ground may disturb the close surrounding roots of nearby seedlings. Established plants should be thinned to 4 inches between plants. Mulch and water well. Beets need to maintain plenty of moisture. Any necessary cultivation should be gentle, beets have shallow roots that are easily disturbed."
61,Pansies,Viola x wittrockiana,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/photo_3024.jpg?itok=Pe_TgWPV,http://www.almanac.com/plant/pansies,3,Flower,Full Sun,"Pansies are hardy annuals whose flowers have €œfaces.€ These plants offer colorful flowers for any season in your garden. They have one of the widest ranges of colors and are good for containers, borders, and ground covers.",null,null,"Remember to water your pansies regularly. One of the most common reasons pansies fail is because they are not watered enough, so if your pansies are not doing well, try watering them more. You can use a general, all-purpose fertilizer around your pansies to help them grow. Remove faded/dead flowers to prolong blooming and encourage more flowers to grow."
62,Mint,Mentha,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/mint.jpg?itok=igg39AcF,http://www.almanac.com/plant/mint,2,Herb,Full Sun,"Mint is a perennial with very fragrant, toothed leaves and tiny purple, pink, or white flowers. It has a fruity, aromatic taste. The mint family has many varieties, but it will take over your garden, so be careful where you plant it.",null,null,"Minimal care is needed for mint. For outdoor plants, use a light mulch. This will help keep the soil moist and keep the leaves clean. For indoor plants, be sure to water them regularly to keep the soil evenly moist."
63,Lemons & Oranges,Citrus spp,http://www.almanac.com/sites/default/files/styles/primary_image_in_article/public/images/citrus.jpg?itok=MCTg-dEZ,http://www.almanac.com/plant/lemons-oranges,2,Fruit,Full Sun,"Although Citrus is a subtropical genus, northern gardeners can grow lemons, oranges, and other citrus trees in containers to enjoy fresh fruit. Standard-size orange and grapefruit trees can grow 18 to 22 feet tall, whereas dwarf varieties only grow 8 to 12 feet tall. Most citrus varieties are self-fertile, so only one tree is necessary. On average, fruit bearing begins when the trees are between 3 and 6 years old; however, exact timing will depend on the type of citrus (lemons, oranges, grapefruit, etc.), the cultivar, your climate, the health of the plant and its care, and other factors. Flowering is not seasonal, but occurs during warm weather and regular rainfall. Flowers and fruits may coincide.",null,null,"A few weeks after planting, and for the first few years (before bearing age), feed the tree a balanced (such as 6-6-6) fertilizer. For newly bearing trees, provide nutrients to continue branch and leaf growth but also to replace nutrients lost by fruit forming. A citrus blend is ideal. Check manufacturer's directions, or ask a garden nursery, as to how often and how much to apply during each year of a tree's growth. Mulches are not recommended for citrus trees, but if trees are located in a cultivated plant bed where mulch is used, keep at least 12 inches of bare ground between the tree trunk and the mulch. Pre-emergent herbicides may be used to prevent weed seeds from germinating. Fruit thinning is unnecessary."
